disease,Field_ID,description,unit,relationship,baseline_factor_ancestry,shared_risk_factors,risk_factor_coefficients,continuous_score_covariance_with_factor_risk,predictor_use,interpretation
K11_COELIAC,1588,Average weekly beer plus cider intake,pints/week,neutral,alcohol,,{},,not in conditioning subset,no active risk path in this model
K11_COELIAC,1598,Average weekly spirits intake,measures/week,neutral,alcohol,,{},,not in conditioning subset,no active risk path in this model
K11_COELIAC,1608,Average weekly fortified wine intake,glasses/week,neutral,alcohol,,{},,not in conditioning subset,no active risk path in this model
K11_COELIAC,1618,Alcohol usually taken with meals,category code,neutral,alcohol;education,,{},,not in conditioning subset,no active risk path in this model
K11_COELIAC,1050,Time spend outdoors in summer,hours/day,neutral,activity;uv,,{},,not in conditioning subset,no active risk path in this model
K11_COELIAC,1060,Time spent outdoors in winter,hours/day,neutral,activity;uv,,{},,not in conditioning subset,no active risk path in this model
K11_COELIAC,1717,Skin colour,category code,neutral,pigmentation,,{},,not in conditioning subset,no active risk path in this model
K11_COELIAC,1727,Ease of skin tanning,category code,neutral,pigmentation,,{},,not in conditioning subset,no active risk path in this model
K11_COELIAC,1737,Childhood sunburn occasions,occasions,neutral,pigmentation;uv,,{},,not in conditioning subset,no active risk path in this model
K11_COELIAC,1747,"Hair colour (natural, before greying)",category code,neutral,pigmentation,,{},,not in conditioning subset,no active risk path in this model
K11_COELIAC,1757,Facial ageing,category code,indirect_shared_factor,age;uv,age,"{""age"": -0.08}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,2267,Use of sun/uv protection,category code,neutral,education;pigmentation,,{},,not in conditioning subset,no active risk path in this model
K11_COELIAC,2277,Frequency of solarium/sunlamp use,occasions,neutral,uv,,{},,not in conditioning subset,no active risk path in this model
K11_COELIAC,2139,Age first had sexual intercourse,years,indirect_shared_factor,age;education,age,"{""age"": -0.08}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,2149,Lifetime number of sexual partners,partners,neutral,alcohol,,{},,not in conditioning subset,no active risk path in this model
K11_COELIAC,2159,Ever had same-sex intercourse,binary code,neutral,,,{},,not in conditioning subset,no active risk path in this model
K11_COELIAC,1677,Breastfed as a baby,binary code,neutral,education,,{},,not in conditioning subset,no active risk path in this model
K11_COELIAC,1777,Part of a multiple birth,binary code,neutral,,,{},,not in conditioning subset,no active risk path in this model
K11_COELIAC,1787,Maternal smoking around birth,binary code,neutral,education;smoking,,{},,not in conditioning subset,no active risk path in this model
K11_COELIAC,2946,Father's age,years,indirect_shared_factor,age,age,"{""age"": -0.08}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,1807,Father's age at death,years,indirect_shared_factor,age,age,"{""age"": -0.08}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,1845,Mother's age,years,indirect_shared_factor,age,age,"{""age"": -0.08}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,3526,Mother's age at death,years,indirect_shared_factor,age,age,"{""age"": -0.08}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,4501,Non-accidental death in close genetic family,binary code,neutral,,,{},,not in conditioning subset,no active risk path in this model
K11_COELIAC,2188,"Long-standing illness, disability or infirmity",binary code,indirect_shared_factor,age;anxiety;inflammation;renal,age,"{""age"": -0.08}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,30160,Basophill count,10^9 cells/L,indirect_shared_factor,immune;inflammation;sex;smoking,immune;sex,"{""immune"": 0.85, ""sex"": -0.1}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,30220,Basophill percentage,%,indirect_shared_factor,immune;inflammation;sex;smoking,immune;sex,"{""immune"": 0.85, ""sex"": -0.1}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,30150,Eosinophill count,10^9 cells/L,indirect_shared_factor,immune;inflammation;sex;smoking,immune;sex,"{""immune"": 0.85, ""sex"": -0.1}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,30210,Eosinophill percentage,%,indirect_shared_factor,immune;inflammation;sex;smoking,immune;sex,"{""immune"": 0.85, ""sex"": -0.1}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,30030,Haematocrit percentage,%,indirect_shared_factor,alcohol;immune;renal;sex;smoking,immune;sex,"{""immune"": 0.85, ""sex"": -0.1}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,30020,Haemoglobin concentration,g/dL,indirect_shared_factor,alcohol;immune;renal;sex;smoking,immune;sex,"{""immune"": 0.85, ""sex"": -0.1}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,30300,High light scatter reticulocyte count,10^12 cells/L,indirect_shared_factor,alcohol;immune;renal;sex;smoking,immune;sex,"{""immune"": 0.85, ""sex"": -0.1}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,30290,High light scatter reticulocyte percentage,%,indirect_shared_factor,immune,immune,"{""immune"": 0.85}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,30280,Immature reticulocyte fraction,ratio,neutral,,,{},,not in conditioning subset,no active risk path in this model
K11_COELIAC,30120,Lymphocyte count,10^9 cells/L,indirect_shared_factor,immune;inflammation;sex;smoking,immune;sex,"{""immune"": 0.85, ""sex"": -0.1}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,30180,Lymphocyte percentage,%,indirect_shared_factor,immune;inflammation;sex;smoking,immune;sex,"{""immune"": 0.85, ""sex"": -0.1}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,30050,Mean corpuscular haemoglobin,pg,indirect_shared_factor,alcohol;immune;renal;sex;smoking,immune;sex,"{""immune"": 0.85, ""sex"": -0.1}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,30060,Mean corpuscular haemoglobin concentration,g/dL,indirect_shared_factor,immune,immune,"{""immune"": 0.85}",-0.1275,Gaussian observation,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,30040,Mean corpuscular volume,fL,indirect_shared_factor,alcohol;immune,immune,"{""immune"": 0.85}",-0.34,Gaussian observation,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,30100,Mean platelet (thrombocyte) volume,fL,neutral,inflammation,,{},,not in conditioning subset,no active risk path in this model
K11_COELIAC,30260,Mean reticulocyte volume,fL,indirect_shared_factor,alcohol;immune,immune,"{""immune"": 0.85}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,30270,Mean sphered cell volume,fL,indirect_shared_factor,alcohol;immune,immune,"{""immune"": 0.85}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,30130,Monocyte count,10^9 cells/L,indirect_shared_factor,immune;inflammation;sex;smoking,immune;sex,"{""immune"": 0.85, ""sex"": -0.1}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,30190,Monocyte percentage,%,indirect_shared_factor,immune;inflammation;sex;smoking,immune;sex,"{""immune"": 0.85, ""sex"": -0.1}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,30140,Neutrophill count,10^9 cells/L,indirect_shared_factor,immune;inflammation;sex;smoking,immune;sex,"{""immune"": 0.85, ""sex"": -0.1}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,30200,Neutrophill percentage,%,indirect_shared_factor,immune;inflammation;sex;smoking,immune;sex,"{""immune"": 0.85, ""sex"": -0.1}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,30170,Nucleated red blood cell count,10^9 cells/L,neutral,,,{},,not in conditioning subset,no active risk path in this model
K11_COELIAC,30230,Nucleated red blood cell percentage,%,neutral,,,{},,not in conditioning subset,no active risk path in this model
K11_COELIAC,30080,Platelet count,10^9 cells/L,neutral,inflammation,,{},,not in conditioning subset,no active risk path in this model
K11_COELIAC,30090,Platelet crit,%,neutral,inflammation,,{},,not in conditioning subset,no active risk path in this model
K11_COELIAC,30110,Platelet distribution width,%,neutral,,,{},,not in conditioning subset,no active risk path in this model
K11_COELIAC,30010,Red blood cell (erythrocyte) count,10^12 cells/L,indirect_shared_factor,immune;renal;sex;smoking,immune;sex,"{""immune"": 0.85, ""sex"": -0.1}",-0.2125,Gaussian observation,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,30070,Red blood cell (erythrocyte) distribution width,%,indirect_shared_factor,immune,immune,"{""immune"": 0.85}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,30250,Reticulocyte count,10^12 cells/L,indirect_shared_factor,alcohol;immune;renal;sex;smoking,immune;sex,"{""immune"": 0.85, ""sex"": -0.1}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,30240,Reticulocyte percentage,%,indirect_shared_factor,immune,immune,"{""immune"": 0.85}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,30000,White blood cell (leukocyte) count,10^9 cells/L,indirect_shared_factor,immune;inflammation;sex;smoking,immune;sex,"{""immune"": 0.85, ""sex"": -0.1}",0.17,Gaussian observation,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,30620,Alanine aminotransferase,U/L,indirect_shared_factor,adiposity;alcohol;inflammation;sex,sex,"{""sex"": -0.1}",0.0,Gaussian observation,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,30600,Albumin,g/L,indirect_shared_factor,immune;inflammation;renal,immune,"{""immune"": 0.85}",-0.17,Gaussian observation,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,30610,Alkaline phosphatase,U/L,indirect_shared_factor,age;alcohol;calcium,age,"{""age"": -0.08}",-0.012,Gaussian observation,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,30630,Apolipoprotein A,g/L,indirect_shared_factor,activity;adiposity;lipids;sex,sex,"{""sex"": -0.1}",0.0,Gaussian observation,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,30640,Apolipoprotein B,g/L,indirect_shared_factor,adiposity;lipids;sex,sex,"{""sex"": -0.1}",0.0,Gaussian observation,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,30650,Aspartate aminotransferase,U/L,indirect_shared_factor,adiposity;alcohol;sex,sex,"{""sex"": -0.1}",0.0,Gaussian observation,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,30710,C-reactive protein,mg/L,indirect_shared_factor,adiposity;immune;inflammation;smoking,immune,"{""immune"": 0.85}",0.255,Gaussian observation,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,30680,Calcium,mmol/L,indirect_shared_factor,calcium;immune;renal,immune,"{""immune"": 0.85}",-0.085,Gaussian observation,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,30690,Cholesterol,mmol/L,indirect_shared_factor,activity;adiposity;alcohol;glycemia;lipids;sex,sex,"{""sex"": -0.1}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,30700,Creatinine,umol/L,indirect_shared_factor,activity;age;renal;sex,age;sex,"{""age"": -0.08, ""sex"": -0.1}",-0.012,Gaussian observation,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,30720,Cystatin C,mg/L,indirect_shared_factor,age;inflammation;renal;sex,age;sex,"{""age"": -0.08, ""sex"": -0.1}",-0.02,Gaussian observation,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,30660,Direct bilirubin,umol/L,neutral,alcohol,,{},,not in conditioning subset,no active risk path in this model
K11_COELIAC,30730,Gamma glutamyltransferase,U/L,indirect_shared_factor,adiposity;alcohol;sex,sex,"{""sex"": -0.1}",0.0,Gaussian observation,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,30740,Glucose,mmol/L,indirect_shared_factor,adiposity;glycemia;sex,sex,"{""sex"": -0.1}",0.0,Gaussian observation,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,30750,Glycated haemoglobin (HbA1c),mmol/mol,indirect_shared_factor,adiposity;age;glycemia,age,"{""age"": -0.08}",-0.012,Gaussian observation,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,30760,HDL cholesterol,mmol/L,indirect_shared_factor,activity;adiposity;lipids;sex,sex,"{""sex"": -0.1}",0.0,Gaussian observation,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,30770,IGF-1,nmol/L,indirect_shared_factor,age;reproduction;sex,age;sex,"{""age"": -0.08, ""sex"": -0.1}",0.036000000000000004,Gaussian observation,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,30780,LDL direct,mmol/L,indirect_shared_factor,adiposity;lipids;sex,sex,"{""sex"": -0.1}",0.0,Gaussian observation,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,30790,Lipoprotein A,nmol/L,neutral,lipids,,{},,Gaussian observation,no active risk path in this model
K11_COELIAC,30800,Oestradiol,pmol/L,indirect_shared_factor,age;reproduction;sex,age;sex,"{""age"": -0.08, ""sex"": -0.1}",0.032,Gaussian observation,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,30810,Phosphate,mmol/L,indirect_shared_factor,calcium;renal;sex,sex,"{""sex"": -0.1}",0.0,Gaussian observation,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,30820,Rheumatoid factor,IU/mL,indirect_shared_factor,age;immune,age;immune,"{""age"": -0.08, ""immune"": 0.85}",0.6255,Gaussian observation,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,30830,SHBG,nmol/L,indirect_shared_factor,adiposity;age;reproduction;sex,age;sex,"{""age"": -0.08, ""sex"": -0.1}",-0.012,Gaussian observation,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,30850,Testosterone,nmol/L,indirect_shared_factor,adiposity;age;reproduction;sex,age;sex,"{""age"": -0.08, ""sex"": -0.1}",0.016,Gaussian observation,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,30840,Total bilirubin,umol/L,neutral,alcohol,,{},,not in conditioning subset,no active risk path in this model
K11_COELIAC,30860,Total protein,g/L,indirect_shared_factor,immune;inflammation;renal,immune,"{""immune"": 0.85}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,30870,Triglycerides,mmol/L,indirect_shared_factor,adiposity;alcohol;glycemia;lipids;sex,sex,"{""sex"": -0.1}",0.0,Gaussian observation,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,30880,Urate,umol/L,indirect_shared_factor,adiposity;alcohol;renal;sex,sex,"{""sex"": -0.1}",0.0,Gaussian observation,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,30670,Urea,mmol/L,indirect_shared_factor,age;renal;sex,age;sex,"{""age"": -0.08, ""sex"": -0.1}",-0.012,Gaussian observation,baseline shared-factor relationship; no empirical effect estimate
K11_COELIAC,30890,Vitamin D,nmol/L,neutral,activity;adiposity;pigmentation;uv,,{},,Gaussian observation,no active risk path in this model
F5_ALCOHOL_DEPENDENCE,21022,Age at recruitment,years,direct,age,age,"{""age"": -0.12}",,demographic conditioning,baseline shared-factor relationship; no empirical effect estimate
F5_ALCOHOL_DEPENDENCE,31,Gender,binary code,direct,sex,sex,"{""sex"": 0.3}",,demographic conditioning,baseline shared-factor relationship; no empirical effect estimate
F5_ALCOHOL_DEPENDENCE,699,Length of time at current address,years,indirect_shared_factor,age,age,"{""age"": -0.12}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
F5_ALCOHOL_DEPENDENCE,709,Number in household,persons,indirect_shared_factor,age,age,"{""age"": -0.12}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
F5_ALCOHOL_DEPENDENCE,796,Distance between home and job workplace,miles,indirect_shared_factor,age;education,age;education,"{""age"": -0.12, ""education"": -0.12}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
F5_ALCOHOL_DEPENDENCE,757,Time employed in main current job,years,indirect_shared_factor,age;education,age;education,"{""age"": -0.12, ""education"": -0.12}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
F5_ALCOHOL_DEPENDENCE,767,Length of working week for main job,hours,indirect_shared_factor,age,age,"{""age"": -0.12}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
F5_ALCOHOL_DEPENDENCE,777,Frequency of travelling from home to job workplace,times/week,indirect_shared_factor,age,age,"{""age"": -0.12}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
F5_ALCOHOL_DEPENDENCE,845,Age completed full time education,years,indirect_shared_factor,education,education,"{""education"": -0.12}",-0.12,Gaussian observation,baseline shared-factor relationship; no empirical effect estimate
F5_ALCOHOL_DEPENDENCE,4079,"Diastolic blood pressure, automated reading",mmHg,indirect_shared_factor,adiposity;age;renal;sex;smoking,age;sex;smoking,"{""age"": -0.12, ""sex"": 0.3, ""smoking"": 0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
F5_ALCOHOL_DEPENDENCE,4080,"Systolic blood pressure, automated reading",mmHg,indirect_shared_factor,adiposity;age;renal;sex;smoking,age;sex;smoking,"{""age"": -0.12, ""sex"": 0.3, ""smoking"": 0.18}",-0.051000000000000004,Gaussian observation,baseline shared-factor relationship; no empirical effect estimate
F5_ALCOHOL_DEPENDENCE,102,"Pulse rate, automated reading",bpm,indirect_shared_factor,activity;anxiety;sleep;smoking,anxiety;smoking,"{""anxiety"": 0.25, ""smoking"": 0.18}",0.127,Gaussian observation,baseline shared-factor relationship; no empirical effect estimate
F5_ALCOHOL_DEPENDENCE,46,Hand grip strength (left),kg,indirect_shared_factor,activity;age;sex,age;sex,"{""age"": -0.12, ""sex"": 0.3}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
F5_ALCOHOL_DEPENDENCE,47,Hand grip strength (right),kg,indirect_shared_factor,activity;age;sex,age;sex,"{""age"": -0.12, ""sex"": 0.3}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
F5_ALCOHOL_DEPENDENCE,48,Waist circumference,cm,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": -0.12, ""sex"": 0.3}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
F5_ALCOHOL_DEPENDENCE,21002,Weight,kg,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": -0.12, ""sex"": 0.3}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
F5_ALCOHOL_DEPENDENCE,21001,Body mass index (BMI),kg/m^2,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": -0.12, ""sex"": 0.3}",-0.0144,Gaussian observation,baseline shared-factor relationship; no empirical effect estimate
F5_ALCOHOL_DEPENDENCE,49,Hip circumference,cm,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": -0.12, ""sex"": 0.3}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
F5_ALCOHOL_DEPENDENCE,50,Standing height,cm,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": -0.12, ""sex"": 0.3}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
F5_ALCOHOL_DEPENDENCE,20015,Sitting height,cm,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": -0.12, ""sex"": 0.3}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
F5_ALCOHOL_DEPENDENCE,23115,Leg fat percentage (left),%,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": -0.12, ""sex"": 0.3}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
F5_ALCOHOL_DEPENDENCE,23111,Leg fat percentage (right),%,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": -0.12, ""sex"": 0.3}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
F5_ALCOHOL_DEPENDENCE,23116,Leg fat mass (left),kg,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": -0.12, ""sex"": 0.3}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
F5_ALCOHOL_DEPENDENCE,23112,Leg fat mass (right),kg,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": -0.12, ""sex"": 0.3}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
F5_ALCOHOL_DEPENDENCE,23117,Leg fat-free mass (left),kg,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": -0.12, ""sex"": 0.3}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
F5_ALCOHOL_DEPENDENCE,23113,Leg fat-free mass (right),kg,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": -0.12, ""sex"": 0.3}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
F5_ALCOHOL_DEPENDENCE,23118,Leg predicted mass (left),kg,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": -0.12, ""sex"": 0.3}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
F5_ALCOHOL_DEPENDENCE,23114,Leg predicted mass (right),kg,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": -0.12, ""sex"": 0.3}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
F5_ALCOHOL_DEPENDENCE,23123,Arm fat percentage (left),%,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": -0.12, ""sex"": 0.3}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
F5_ALCOHOL_DEPENDENCE,23119,Arm fat percentage (right),%,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": -0.12, ""sex"": 0.3}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
F5_ALCOHOL_DEPENDENCE,23124,Arm fat mass (left),kg,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": -0.12, ""sex"": 0.3}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
F5_ALCOHOL_DEPENDENCE,23120,Arm fat mass (right),kg,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": -0.12, ""sex"": 0.3}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
F5_ALCOHOL_DEPENDENCE,23121,Arm fat-free mass (right),kg,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": -0.12, ""sex"": 0.3}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
F5_ALCOHOL_DEPENDENCE,23125,Arm fat-free mass (left),kg,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": -0.12, ""sex"": 0.3}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
F5_ALCOHOL_DEPENDENCE,23126,Arm predicted mass (left),kg,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": -0.12, ""sex"": 0.3}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
F5_ALCOHOL_DEPENDENCE,23122,Arm predicted mass (right),kg,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": -0.12, ""sex"": 0.3}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
F5_ALCOHOL_DEPENDENCE,23127,Trunk fat percentage,%,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": -0.12, ""sex"": 0.3}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
F5_ALCOHOL_DEPENDENCE,23128,Trunk fat mass,kg,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": -0.12, ""sex"": 0.3}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
F5_ALCOHOL_DEPENDENCE,23129,Trunk fat-free mass,kg,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": -0.12, ""sex"": 0.3}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
F5_ALCOHOL_DEPENDENCE,23130,Trunk predicted mass,kg,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": -0.12, ""sex"": 0.3}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
F5_ALCOHOL_DEPENDENCE,23105,Basal metabolic rate,kJ/day,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": -0.12, ""sex"": 0.3}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
F5_ALCOHOL_DEPENDENCE,23099,Body fat percentage,%,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": -0.12, ""sex"": 0.3}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
F5_ALCOHOL_DEPENDENCE,23100,Whole body fat mass,kg,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": -0.12, ""sex"": 0.3}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
F5_ALCOHOL_DEPENDENCE,23101,Whole body fat-free mass,kg,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": -0.12, ""sex"": 0.3}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
F5_ALCOHOL_DEPENDENCE,23102,Whole body water mass,kg,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": -0.12, ""sex"": 0.3}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
F5_ALCOHOL_DEPENDENCE,23106,Impedance of whole body,ohm,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": -0.12, ""sex"": 0.3}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
F5_ALCOHOL_DEPENDENCE,23110,Impedance of arm (left),ohm,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": -0.12, ""sex"": 0.3}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
F5_ALCOHOL_DEPENDENCE,23109,Impedance of arm (right),ohm,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": -0.12, ""sex"": 0.3}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
F5_ALCOHOL_DEPENDENCE,23108,Impedance of leg (left),ohm,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": -0.12, ""sex"": 0.3}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
F5_ALCOHOL_DEPENDENCE,23107,Impedance of leg (right),ohm,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": -0.12, ""sex"": 0.3}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
F5_ALCOHOL_DEPENDENCE,3062,Forced vital capacity (FVC),L,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": -0.12, ""sex"": 0.3}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
F5_ALCOHOL_DEPENDENCE,3063,Forced expiratory volume in 1-second (FEV1),L,indirect_shared_factor,activity;adiposity;age;sex;smoking,age;sex;smoking,"{""age"": -0.12, ""sex"": 0.3, ""smoking"": 0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
F5_ALCOHOL_DEPENDENCE,20258,FEV1/ FVC ratio Z-score,z-score,indirect_shared_factor,activity;age;smoking,age;smoking,"{""age"": -0.12, ""smoking"": 0.18}",-0.13199999999999998,Gaussian observation,baseline shared-factor relationship; no empirical effect estimate
F5_ALCOHOL_DEPENDENCE,3064,Peak expiratory flow (PEF),L/min,indirect_shared_factor,activity;adiposity;age;sex;smoking,age;sex;smoking,"{""age"": -0.12, ""sex"": 0.3, ""smoking"": 0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
