atlas,column_index,label_id,feature_name,disease,coverage_status,evidence_consistency,effect_mode,literature_d_median,source_d_values,model_latent_sd_shift,quantitative_sign_conflict,selected_association_ids,modeling_assumption
AAL3,23,24,Rectus_R,AD,direct,mixed_significance_or_measurement,source_median_numeric_volume,-0.32357600000000003,"{""Frontal2026"": -0.481152, ""Ledig2018"": -0.166}",-0.210324,False,A00314;A00701,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,23,24,Rectus_R,MCI,parent_region_extrapolation,conflicting_directions,source_median_numeric_volume,0.16661700000000002,"{""Frontal2026"": 0.344623, ""Ledig2018"": -0.011389}",0.054151,True,A00316;A00703,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,24,25,OFCmed_L,AD,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,-0.1572935,"{""Frontal2026"": -0.244587, ""Ledig2018"": -0.07}",-0.102241,False,A00349;A00688,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,24,25,OFCmed_L,MCI,parent_region_extrapolation,conflicting_directions,source_median_numeric_volume,0.0294245,"{""Frontal2026"": 0.061224, ""Ledig2018"": -0.002375}",0.009563,True,A00351;A00690,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,25,26,OFCmed_R,AD,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,-0.1572935,"{""Frontal2026"": -0.244587, ""Ledig2018"": -0.07}",-0.102241,False,A00350;A00689,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,25,26,OFCmed_R,MCI,parent_region_extrapolation,conflicting_directions,source_median_numeric_volume,0.0294245,"{""Frontal2026"": 0.061224, ""Ledig2018"": -0.002375}",0.009563,True,A00352;A00691,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,26,27,OFCant_L,AD,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,-0.407131,"{""Frontal2026"": -0.663262, ""Ledig2018"": -0.151}",-0.264635,False,A00337;A00680,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,26,27,OFCant_L,MCI,parent_region_extrapolation,conflicting_directions,source_median_numeric_volume,0.004413500000000001,"{""Frontal2026"": 0.17032, ""Ledig2018"": -0.161493}",0.001434,True,A00339;A00682,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,27,28,OFCant_R,AD,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,-0.407131,"{""Frontal2026"": -0.663262, ""Ledig2018"": -0.151}",-0.264635,False,A00338;A00681,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,27,28,OFCant_R,MCI,parent_region_extrapolation,conflicting_directions,source_median_numeric_volume,0.004413500000000001,"{""Frontal2026"": 0.17032, ""Ledig2018"": -0.161493}",0.001434,True,A00340;A00683,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,28,29,OFCpost_L,AD,parent_region_extrapolation,mixed_significance_or_measurement,source_median_numeric_volume,-0.5792395,"{""Frontal2026"": -0.861479, ""Ledig2018"": -0.297}",-0.376506,False,A00341;A00676,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,28,29,OFCpost_L,MCI,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,-0.3115255,"{""Frontal2026"": -0.467107, ""Ledig2018"": -0.155944}",-0.202492,False,A00343;A00678,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,29,30,OFCpost_R,AD,parent_region_extrapolation,mixed_significance_or_measurement,source_median_numeric_volume,-0.5792395,"{""Frontal2026"": -0.861479, ""Ledig2018"": -0.297}",-0.376506,False,A00342;A00677,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,29,30,OFCpost_R,MCI,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,-0.3115255,"{""Frontal2026"": -0.467107, ""Ledig2018"": -0.155944}",-0.202492,False,A00344;A00679,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,30,31,OFClat_L,AD,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,-0.24165399999999998,"{""Frontal2026"": -0.270308, ""Ledig2018"": -0.213}",-0.157075,False,A00345;A00684,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,30,31,OFClat_L,MCI,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,-0.09152500000000001,"{""Frontal2026"": -0.047912, ""Ledig2018"": -0.135138}",-0.059491,False,A00347;A00686,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,31,32,OFClat_R,AD,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,-0.24165399999999998,"{""Frontal2026"": -0.270308, ""Ledig2018"": -0.213}",-0.157075,False,A00346;A00685,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,31,32,OFClat_R,MCI,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,-0.09152500000000001,"{""Frontal2026"": -0.047912, ""Ledig2018"": -0.135138}",-0.059491,False,A00348;A00687,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,32,33,Insula_L,AD,direct,see_individual_associations,source_median_numeric_volume,-0.48250000000000004,"{""Ledig2018"": -0.48250000000000004}",-0.313625,False,A00620;A00624,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,32,33,Insula_L,MCI,direct,see_individual_associations,source_median_numeric_volume,-0.29951700000000003,"{""Ledig2018"": -0.29951700000000003}",-0.194686,False,A00622;A00626,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,33,34,Insula_R,AD,direct,see_individual_associations,source_median_numeric_volume,-0.48250000000000004,"{""Ledig2018"": -0.48250000000000004}",-0.313625,False,A00621;A00625,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,33,34,Insula_R,MCI,direct,see_individual_associations,source_median_numeric_volume,-0.29951700000000003,"{""Ledig2018"": -0.29951700000000003}",-0.194686,False,A00623;A00627,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,34,37,Cingulate_Mid_L,AD,direct,conflicting_directions,source_median_numeric_volume,0.444,"{""Ledig2018"": 0.444}",0.2886,False,A00664,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,34,37,Cingulate_Mid_L,MCI,direct,conflicting_directions,source_median_numeric_volume,0.232364,"{""Ledig2018"": 0.232364}",0.151037,False,A00666,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,35,38,Cingulate_Mid_R,AD,direct,conflicting_directions,source_median_numeric_volume,0.444,"{""Ledig2018"": 0.444}",0.2886,False,A00665,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,35,38,Cingulate_Mid_R,MCI,direct,conflicting_directions,source_median_numeric_volume,0.232364,"{""Ledig2018"": 0.232364}",0.151037,False,A00667,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,36,39,Cingulate_Post_L,AD,direct,see_individual_associations,source_median_numeric_volume,-0.33,"{""Ledig2018"": -0.33}",-0.2145,False,A00668,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,36,39,Cingulate_Post_L,MCI,direct,see_individual_associations,source_median_numeric_volume,-0.082346,"{""Ledig2018"": -0.082346}",-0.053525,False,A00670,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,37,40,Cingulate_Post_R,AD,direct,see_individual_associations,source_median_numeric_volume,-0.33,"{""Ledig2018"": -0.33}",-0.2145,False,A00669,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,37,40,Cingulate_Post_R,MCI,direct,see_individual_associations,source_median_numeric_volume,-0.082346,"{""Ledig2018"": -0.082346}",-0.053525,False,A00671,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,38,41,Hippocampus_L,AD,direct,see_individual_associations,source_median_numeric_volume,-2.036,"{""Fjell2010"": -2.57, ""Ledig2018"": -1.502}",-1.3234,False,A00031;A00807,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,38,41,Hippocampus_L,MCI,direct,see_individual_associations,source_median_numeric_volume,-1.76,"{""Fjell2010"": -1.76, ""Ledig2018"": -1.062226, ""MCI2016"": -2.211814}",-1.144,False,A00027;A00809;A00122,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,39,42,Hippocampus_R,AD,direct,see_individual_associations,source_median_numeric_volume,-1.9249999999999998,"{""Fjell2010"": -2.57, ""Ledig2018"": -1.28}",-1.25125,False,A00032;A00811,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,39,42,Hippocampus_R,MCI,direct,see_individual_associations,source_median_numeric_volume,-1.166798,"{""Fjell2010"": -1.76, ""Ledig2018"": -1.040481, ""MCI2016"": -1.166798}",-0.758419,False,A00028;A00813;A00120,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,40,43,ParaHippocampal_L,AD,direct,see_individual_associations,source_median_numeric_volume,-0.97,"{""Ledig2018"": -0.97}",-0.6305,False,A00572,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,40,43,ParaHippocampal_L,MCI,direct,see_individual_associations,source_median_numeric_volume,-0.648645,"{""Ledig2018"": -0.648645}",-0.421619,False,A00574,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,41,44,ParaHippocampal_R,AD,direct,see_individual_associations,source_median_numeric_volume,-0.97,"{""Ledig2018"": -0.97}",-0.6305,False,A00573,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,41,44,ParaHippocampal_R,MCI,direct,see_individual_associations,source_median_numeric_volume,-0.648645,"{""Ledig2018"": -0.648645}",-0.421619,False,A00575,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,42,45,Amygdala_L,AD,direct,see_individual_associations,source_median_numeric_volume,-1.7315,"{""Fjell2010"": -2.06, ""Ledig2018"": -1.403}",-1.125475,False,A00015;A00815,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,42,45,Amygdala_L,MCI,direct,mixed_significance_or_measurement,source_median_numeric_volume,-0.828799,"{""Fjell2010"": -1.2, ""Ledig2018"": -0.828799, ""MCI2016"": -0.592406}",-0.538719,False,A00011;A00817;A00126,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,43,46,Amygdala_R,AD,direct,see_individual_associations,source_median_numeric_volume,-1.756,"{""Fjell2010"": -2.06, ""Ledig2018"": -1.452}",-1.1414,False,A00016;A00819,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,43,46,Amygdala_R,MCI,direct,see_individual_associations,source_median_numeric_volume,-1.124087,"{""Fjell2010"": -1.2, ""Ledig2018"": -0.84817, ""MCI2016"": -1.124087}",-0.730657,False,A00012;A00821;A00124,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,44,47,Calcarine_L,AD,parent_region_extrapolation,conflicting_directions,source_median_numeric_volume,0.186,"{""Ledig2018"": 0.186}",0.1209,False,A00708,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,44,47,Calcarine_L,MCI,parent_region_extrapolation,conflicting_directions,source_median_numeric_volume,0.133864,"{""Ledig2018"": 0.133864}",0.087012,False,A00710,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,45,48,Calcarine_R,AD,parent_region_extrapolation,conflicting_directions,source_median_numeric_volume,0.186,"{""Ledig2018"": 0.186}",0.1209,False,A00709,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,45,48,Calcarine_R,MCI,parent_region_extrapolation,conflicting_directions,source_median_numeric_volume,0.133864,"{""Ledig2018"": 0.133864}",0.087012,False,A00711,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,46,49,Cuneus_L,AD,parent_region_extrapolation,conflicting_directions,source_median_numeric_volume,0.022,"{""Ledig2018"": 0.022}",0.0143,False,A00736,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,46,49,Cuneus_L,MCI,parent_region_extrapolation,conflicting_directions,source_median_numeric_volume,0.081118,"{""Ledig2018"": 0.081118}",0.052727,False,A00738,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,47,50,Cuneus_R,AD,parent_region_extrapolation,conflicting_directions,source_median_numeric_volume,0.022,"{""Ledig2018"": 0.022}",0.0143,False,A00737,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,47,50,Cuneus_R,MCI,parent_region_extrapolation,conflicting_directions,source_median_numeric_volume,0.081118,"{""Ledig2018"": 0.081118}",0.052727,False,A00739,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,48,51,Lingual_L,AD,parent_region_extrapolation,conflicting_directions,source_median_numeric_volume,0.055,"{""Ledig2018"": 0.055}",0.03575,False,A00732,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,48,51,Lingual_L,MCI,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,-0.008207,"{""Ledig2018"": -0.008207}",-0.005335,False,A00734,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,49,52,Lingual_R,AD,parent_region_extrapolation,conflicting_directions,source_median_numeric_volume,0.055,"{""Ledig2018"": 0.055}",0.03575,False,A00733,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,49,52,Lingual_R,MCI,direct,see_individual_associations,source_median_numeric_volume,-0.008207,"{""Ledig2018"": -0.008207}",-0.005335,False,A00735,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,50,53,Occipital_Sup_L,AD,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,-0.219,"{""Ledig2018"": -0.219}",-0.14235,False,A00636,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,50,53,Occipital_Sup_L,MCI,parent_region_extrapolation,conflicting_directions,source_median_numeric_volume,0.009182,"{""Ledig2018"": 0.009182}",0.005968,False,A00638,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,51,54,Occipital_Sup_R,AD,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,-0.219,"{""Ledig2018"": -0.219}",-0.14235,False,A00637,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,51,54,Occipital_Sup_R,MCI,parent_region_extrapolation,conflicting_directions,source_median_numeric_volume,0.009182,"{""Ledig2018"": 0.009182}",0.005968,False,A00639,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,52,55,Occipital_Mid_L,AD,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,-0.503,"{""Ledig2018"": -0.503}",-0.32695,False,A00628,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,52,55,Occipital_Mid_L,MCI,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,-0.186423,"{""Ledig2018"": -0.186423}",-0.121175,False,A00630,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,53,56,Occipital_Mid_R,AD,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,-0.503,"{""Ledig2018"": -0.503}",-0.32695,False,A00629,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,53,56,Occipital_Mid_R,MCI,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,-0.186423,"{""Ledig2018"": -0.186423}",-0.121175,False,A00631,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,54,57,Occipital_Inf_L,AD,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,-0.474,"{""Ledig2018"": -0.474}",-0.3081,False,A00632,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,54,57,Occipital_Inf_L,MCI,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,-0.156704,"{""Ledig2018"": -0.156704}",-0.101858,False,A00634,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,55,58,Occipital_Inf_R,AD,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,-0.474,"{""Ledig2018"": -0.474}",-0.3081,False,A00633,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,55,58,Occipital_Inf_R,MCI,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,-0.156704,"{""Ledig2018"": -0.156704}",-0.101858,False,A00635,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,56,59,Fusiform_L,AD,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,-0.608,"{""Ledig2018"": -0.608}",-0.3952,False,A00612;A00616,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,56,59,Fusiform_L,MCI,direct,see_individual_associations,source_median_numeric_volume,-0.257627,"{""Ledig2018"": -0.257627}",-0.167458,False,A00614;A00618,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,57,60,Fusiform_R,AD,direct,see_individual_associations,source_median_numeric_volume,-0.608,"{""Ledig2018"": -0.608}",-0.3952,False,A00613;A00617,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,57,60,Fusiform_R,MCI,direct,see_individual_associations,source_median_numeric_volume,-0.257627,"{""Ledig2018"": -0.257627}",-0.167458,False,A00615;A00619,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,58,61,Postcentral_L,AD,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,-0.094,"{""Ledig2018"": -0.094}",-0.0611,False,A00712,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,58,61,Postcentral_L,MCI,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,0.082227,"{""Ledig2018"": 0.082227}",0.053448,False,A00714,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,59,62,Postcentral_R,AD,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,-0.094,"{""Ledig2018"": -0.094}",-0.0611,False,A00713,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,59,62,Postcentral_R,MCI,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,0.082227,"{""Ledig2018"": 0.082227}",0.053448,False,A00715,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,60,63,Parietal_Sup_L,AD,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,-0.42,"{""Ledig2018"": -0.42}",-0.273,False,A00640,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,60,63,Parietal_Sup_L,MCI,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,-0.153791,"{""Ledig2018"": -0.153791}",-0.099964,False,A00642,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,61,64,Parietal_Sup_R,AD,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,-0.42,"{""Ledig2018"": -0.42}",-0.273,False,A00641,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,61,64,Parietal_Sup_R,MCI,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,-0.153791,"{""Ledig2018"": -0.153791}",-0.099964,False,A00643,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,62,65,Parietal_Inf_L,AD,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,-0.763,"{""Ledig2018"": -0.763}",-0.49595,False,A00596;A00604,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,62,65,Parietal_Inf_L,MCI,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,-0.4275785,"{""Ledig2018"": -0.4275785}",-0.277926,False,A00600;A00608,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,63,66,Parietal_Inf_R,AD,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,-0.763,"{""Ledig2018"": -0.763}",-0.49595,False,A00597;A00605,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,63,66,Parietal_Inf_R,MCI,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,-0.4275785,"{""Ledig2018"": -0.4275785}",-0.277926,False,A00601;A00609,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
